material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-1215945,YGa3Cu,"Cu, Ga, Y",3,0.013742773100000605,Tetragonal,119,I-4m2,0.0,True,True,0.24746716953971895,Y: 0.2000; Ga: 0.6000; Cu: 0.2000
mp-1218230,SrInAu5,"Au, In, Sr",3,0.0,Tetragonal,119,I-4m2,0.0,True,True,0.5752976159682704,Sr: 0.1429; In: 0.1429; Au: 0.7143
mp-1227881,BaMgIn3,"Ba, In, Mg",3,0.0,Tetragonal,119,I-4m2,0.0,True,True,0.35863072930244,Ba: 0.2000; Mg: 0.2000; In: 0.6000
mp-1222853,LaGa3Cu,"Cu, Ga, La",3,0.0,Tetragonal,119,I-4m2,0.0,True,True,0.29506609429075376,La: 0.2000; Ga: 0.6000; Cu: 0.2000
mp-1222842,LaGa3Pd,"Ga, La, Pd",3,0.0,Tetragonal,119,I-4m2,0.0,True,True,0.35657257325823594,La: 0.2000; Ga: 0.6000; Pd: 0.2000
mp-1222794,LaGa3Pt,"Ga, La, Pt",3,0.0,Tetragonal,119,I-4m2,0.0,True,True,0.3777512408980279,La: 0.2000; Ga: 0.6000; Pt: 0.2000
mp-1215933,YAl3Ag,"Ag, Al, Y",3,0.00486114486666267,Tetragonal,119,I-4m2,0.0,True,True,0.22517548712060112,Y: 0.2000; Al: 0.6000; Ag: 0.2000
mp-30402,K(SnAu2)2,"Au, K, Sn",3,0.011057364857141927,Tetragonal,120,I-4c2,0.0,False,True,0.7021929934142037,K: 0.2500; Sn: 0.2500; Au: 0.5000
mp-1195947,K23(Sn3Au4)3,"Au, K, Sn",3,0.0,Tetragonal,121,I-42m,0.0,False,True,0.6376014080564405,K: 0.7667; Sn: 0.1000; Au: 0.1333
mp-639910,Y(Sn3Ru2)2,"Ru, Sn, Y",3,0.0,Tetragonal,121,I-42m,0.0,False,True,0.32952828238087384,Y: 0.1667; Sn: 0.5000; Ru: 0.3333
