material_id,formula,elements,theoretical,valence_info,VEC_count
mp-865152,MgAlPd2,"Al, Mg, Pd",True,"Mg: 1 (Valence: 2), Al: 1 (Valence: 3), Pd: 2 (Valence: 10)",6.25
mp-1184976,Li2CdAg,"Ag, Cd, Li",True,"Li: 2 (Valence: 1), Cd: 1 (Valence: 12), Ag: 1 (Valence: 11)",6.25
mp-1185014,La2MgAl,"Al, La, Mg",True,"La: 2 (Valence: 3), Mg: 1 (Valence: 2), Al: 1 (Valence: 3)",2.75
mp-864670,Ta2VOs,"Os, Ta, V",True,"Ta: 2 (Valence: 5), V: 1 (Valence: 5), Os: 1 (Valence: 8)",5.75
mp-1183512,Ca2TlSn,"Ca, Sn, Tl",True,"Ca: 2 (Valence: 2), Tl: 1 (Valence: 3), Sn: 1 (Valence: 4)",2.75
mp-1187869,YScZn2,"Sc, Y, Zn",True,"Y: 1 (Valence: 3), Sc: 1 (Valence: 3), Zn: 2 (Valence: 12)",7.5
mp-866165,YMgRh2,"Mg, Rh, Y",True,"Y: 1 (Valence: 3), Mg: 1 (Valence: 2), Rh: 2 (Valence: 9)",5.75
mp-867255,LiZn2Au,"Au, Li, Zn",True,"Li: 1 (Valence: 1), Zn: 2 (Valence: 12), Au: 1 (Valence: 11)",9.0
mp-1183607,Ca2PbAu,"Au, Ca, Pb",True,"Ca: 2 (Valence: 2), Pb: 1 (Valence: 4), Au: 1 (Valence: 11)",4.75
mp-5419,LiGa2Ir,"Ga, Ir, Li",False,"Li: 1 (Valence: 1), Ga: 2 (Valence: 3), Ir: 1 (Valence: 9)",4.0
mp-1186932,Sc2AgPt,"Ag, Pt, Sc",True,"Sc: 2 (Valence: 3), Ag: 1 (Valence: 11), Pt: 1 (Valence: 10)",6.75
mp-867927,LiVIr2,"Ir, Li, V",True,"Li: 1 (Valence: 1), V: 1 (Valence: 5), Ir: 2 (Valence: 9)",6.0
mp-1184055,GaFeRu2,"Fe, Ga, Ru",True,"Ga: 1 (Valence: 3), Fe: 1 (Valence: 8), Ru: 2 (Valence: 8)",6.75
mp-862334,Sc2IrRh,"Ir, Rh, Sc",True,"Sc: 2 (Valence: 3), Ir: 1 (Valence: 9), Rh: 1 (Valence: 9)",6.0
mp-5159,LiGa2Pd,"Ga, Li, Pd",False,"Li: 1 (Valence: 1), Ga: 2 (Valence: 3), Pd: 1 (Valence: 10)",4.25
mp-5538,YSnPd2,"Pd, Sn, Y",False,"Y: 1 (Valence: 3), Sn: 1 (Valence: 4), Pd: 2 (Valence: 10)",6.75
mp-1184997,KRbAu2,"Au, K, Rb",True,"K: 1 (Valence: 1), Rb: 1 (Valence: 1), Au: 2 (Valence: 11)",6.0
mp-1187709,Y2ZnAu,"Au, Y, Zn",True,"Y: 2 (Valence: 3), Zn: 1 (Valence: 12), Au: 1 (Valence: 11)",7.25
mp-636320,TiGaFe2,"Fe, Ga, Ti",False,"Ti: 1 (Valence: 4), Ga: 1 (Valence: 3), Fe: 2 (Valence: 8)",5.75
mp-864601,LiMg2Rh,"Li, Mg, Rh",True,"Li: 1 (Valence: 1), Mg: 2 (Valence: 2), Rh: 1 (Valence: 9)",3.5
mp-866115,Be2PdRh,"Be, Pd, Rh",True,"Be: 2 (Valence: 2), Pd: 1 (Valence: 10), Rh: 1 (Valence: 9)",5.75
mp-975608,Li2TlPt,"Li, Pt, Tl",True,"Li: 2 (Valence: 1), Tl: 1 (Valence: 3), Pt: 1 (Valence: 10)",3.75
mp-867292,Ga2RuRh,"Ga, Rh, Ru",True,"Ga: 2 (Valence: 3), Ru: 1 (Valence: 8), Rh: 1 (Valence: 9)",5.75
mp-861639,Ti2CoIr,"Co, Ir, Ti",True,"Ti: 2 (Valence: 4), Co: 1 (Valence: 9), Ir: 1 (Valence: 9)",6.5
mp-974642,LiAg2Pb,"Ag, Li, Pb",True,"Li: 1 (Valence: 1), Ag: 2 (Valence: 11), Pb: 1 (Valence: 4)",6.75
mp-864788,NbInRu2,"In, Nb, Ru",True,"Nb: 1 (Valence: 5), In: 1 (Valence: 3), Ru: 2 (Valence: 8)",6.0
mp-865515,YMgZn2,"Mg, Y, Zn",True,"Y: 1 (Valence: 3), Mg: 1 (Valence: 2), Zn: 2 (Valence: 12)",7.25
mp-865048,TiZnIr2,"Ir, Ti, Zn",True,"Ti: 1 (Valence: 4), Zn: 1 (Valence: 12), Ir: 2 (Valence: 9)",8.5
mp-1232420,LiMg2Ir,"Ir, Li, Mg",True,"Li: 1 (Valence: 1), Mg: 2 (Valence: 2), Ir: 1 (Valence: 9)",3.5
mp-865518,YSnRh2,"Rh, Sn, Y",True,"Y: 1 (Valence: 3), Sn: 1 (Valence: 4), Rh: 2 (Valence: 9)",6.25
mp-867813,LiLa2Os,"La, Li, Os",True,"Li: 1 (Valence: 1), La: 2 (Valence: 3), Os: 1 (Valence: 8)",3.75
mp-1184958,Li2TlIn,"In, Li, Tl",True,"Li: 2 (Valence: 1), Tl: 1 (Valence: 3), In: 1 (Valence: 3)",2.0
mp-866088,Hf2CoTc,"Co, Hf, Tc",True,"Hf: 2 (Valence: 4), Co: 1 (Valence: 9), Tc: 1 (Valence: 7)",6.0
mp-1186121,NaCd2In,"Cd, In, Na",True,"Na: 1 (Valence: 1), Cd: 2 (Valence: 12), In: 1 (Valence: 3)",7.0
mp-1183690,CrGaRh2,"Cr, Ga, Rh",True,"Cr: 1 (Valence: 6), Ga: 1 (Valence: 3), Rh: 2 (Valence: 9)",6.75
mp-865130,Hf2MoRh,"Hf, Mo, Rh",True,"Hf: 2 (Valence: 4), Mo: 1 (Valence: 6), Rh: 1 (Valence: 9)",5.75
mp-1185428,LiTi2Ir,"Ir, Li, Ti",True,"Li: 1 (Valence: 1), Ti: 2 (Valence: 4), Ir: 1 (Valence: 9)",4.5
mp-972238,Ti2VIr,"Ir, Ti, V",True,"Ti: 2 (Valence: 4), V: 1 (Valence: 5), Ir: 1 (Valence: 9)",5.5
mp-5221,HfAlCo2,"Al, Co, Hf",False,"Hf: 1 (Valence: 4), Al: 1 (Valence: 3), Co: 2 (Valence: 9)",6.25
mp-1187926,ZnAgPd2,"Ag, Pd, Zn",True,"Zn: 1 (Valence: 12), Ag: 1 (Valence: 11), Pd: 2 (Valence: 10)",10.75
mp-865123,MgGaPd2,"Ga, Mg, Pd",True,"Mg: 1 (Valence: 2), Ga: 1 (Valence: 3), Pd: 2 (Valence: 10)",6.25
mp-861909,CdGaRh2,"Cd, Ga, Rh",True,"Cd: 1 (Valence: 12), Ga: 1 (Valence: 3), Rh: 2 (Valence: 9)",8.25
mp-1183207,Ba2AgBi,"Ag, Ba, Bi",True,"Ba: 2 (Valence: 2), Ag: 1 (Valence: 11), Bi: 1 (Valence: 5)",5.0
mp-4364,NbGaCo2,"Co, Ga, Nb",False,"Nb: 1 (Valence: 5), Ga: 1 (Valence: 3), Co: 2 (Valence: 9)",6.5
mp-972877,Sc2AlIr,"Al, Ir, Sc",True,"Sc: 2 (Valence: 3), Al: 1 (Valence: 3), Ir: 1 (Valence: 9)",4.5
mp-977407,Hf2ReRh,"Hf, Re, Rh",True,"Hf: 2 (Valence: 4), Re: 1 (Valence: 7), Rh: 1 (Valence: 9)",6.0
mp-866152,TiBeCo2,"Be, Co, Ti",True,"Ti: 1 (Valence: 4), Be: 1 (Valence: 2), Co: 2 (Valence: 9)",6.0
mp-865737,Li2InSn,"In, Li, Sn",True,"Li: 2 (Valence: 1), In: 1 (Valence: 3), Sn: 1 (Valence: 4)",2.25
mp-979267,Ta2FeMo,"Fe, Mo, Ta",True,"Ta: 2 (Valence: 5), Fe: 1 (Valence: 8), Mo: 1 (Valence: 6)",6.0
mp-1185368,LiMgIn2,"In, Li, Mg",True,"Li: 1 (Valence: 1), Mg: 1 (Valence: 2), In: 2 (Valence: 3)",2.25
mp-864916,Hf2TcRh,"Hf, Rh, Tc",True,"Hf: 2 (Valence: 4), Tc: 1 (Valence: 7), Rh: 1 (Valence: 9)",6.0
mp-977541,Hf2TcOs,"Hf, Os, Tc",True,"Hf: 2 (Valence: 4), Tc: 1 (Valence: 7), Os: 1 (Valence: 8)",5.75
mp-1186942,Sc2GaNi,"Ga, Ni, Sc",True,"Sc: 2 (Valence: 3), Ga: 1 (Valence: 3), Ni: 1 (Valence: 10)",4.75
mp-973133,ScCuPd2,"Cu, Pd, Sc",True,"Sc: 1 (Valence: 3), Cu: 1 (Valence: 11), Pd: 2 (Valence: 10)",8.5
