material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal
mp-16756,Ta3Ga2,"Ga, Ta",2,0.0,Tetragonal,127,P4/mbm,0.0,False,True
mp-568404,Li9Al4,"Al, Li",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-568746,Bi2Pd,"Bi, Pd",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-571060,In9Pt13,"In, Pt",2,0.049124047272719906,Monoclinic,12,C2/m,0.0,False,True
mp-30410,Mn2Au5,"Au, Mn",2,0.014431074999997406,Monoclinic,12,C2/m,0.0,False,True
mp-21589,Ga9Ni13,"Ga, Ni",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1188069,Zr2Ni7,"Ni, Zr",2,0.0038042649999994183,Monoclinic,12,C2/m,0.0,False,True
mp-13447,Zn13Rh,"Rh, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-641509,In9Ni13,"In, Ni",2,0.06179680954545219,Monoclinic,12,C2/m,0.0,False,True
mp-567207,SrIn4,"In, Sr",2,0.007084296222223063,Monoclinic,12,C2/m,0.0,False,True
mp-31019,Al45Cr7,"Al, Cr",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1077372,Zr2Cu,"Cu, Zr",2,0.04423778166666903,Monoclinic,12,C2/m,0.0,False,True
mp-30464,Bi2Pd5,"Bi, Pd",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-31467,Ga3Pd7,"Ga, Pd",2,0.0008468572499964466,Monoclinic,12,C2/m,0.0,False,True
mp-1205422,Hf2Co7,"Co, Hf",2,0.008048037727270696,Monoclinic,12,C2/m,0.0,False,True
mp-30568,Zn13Co,"Co, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-20174,Ni3Sn4,"Ni, Sn",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-2733,Al8Mo3,"Al, Mo",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1091391,BaTl4,"Ba, Tl",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-583168,NaSn2,"Na, Sn",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-570920,Ga5Fe6,"Fe, Ga",2,0.031206838323865504,Monoclinic,12,C2/m,0.0,False,True
mp-2500,AlCu,"Al, Cu",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1179520,Sc5Ga3,"Ga, Sc",2,0.007125837812498759,Monoclinic,12,C2/m,0.0,False,True
mp-567919,Al45V7,"Al, V",2,0.015895317307692558,Monoclinic,12,C2/m,0.0,False,True
mp-540538,Ga4Fe3,"Fe, Ga",2,0.022887623080357855,Monoclinic,12,C2/m,0.0,False,True
mp-18654,Cr3Ga4,"Cr, Ga",2,0.08692408904762061,Monoclinic,12,C2/m,0.0,False,True
mp-17880,Al13Ru4,"Al, Ru",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-2461,CaGa4,"Ca, Ga",2,0.0016006820000011857,Monoclinic,12,C2/m,0.0,False,True
mp-567929,Al13Os4,"Al, Os",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-2717,Zr2Ni7,"Ni, Zr",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1722,Zn13Fe,"Fe, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True
mp-1203489,Al13Rh4,"Al, Rh",2,0.0223804461397048,Monoclinic,12,C2/m,0.0,False,True
