material_id,formula,elements,theoretical,valence_info
mp-1186099,Na3Zn,"Na, Zn",True,
mp-1186091,Na3Zn,"Na, Zn",True,
mp-950,NaZn13,"Na, Zn",False,
mp-454,NaGa4,"Ga, Na",False,
mp-571095,Na7Ga13,"Ga, Na",False,
mp-975109,RbNa3,"Na, Rb",True,
mp-975298,RbNa3,"Na, Rb",True,
mp-1186861,Rb3Na,"Na, Rb",True,
mp-974883,Rb3Na,"Na, Rb",True,
mp-974866,Rb3Na,"Na, Rb",True,
mp-974862,Rb3Na,"Na, Rb",True,
mp-1186184,NaSr3,"Na, Sr",True,
mp-1186067,Na3Pd,"Na, Pd",True,
mp-1186074,Na3Pd,"Na, Pd",True,
mp-976971,NaPd3,"Na, Pd",True,
mp-1186034,Na3Ag,"Ag, Na",True,
mp-1186033,Na3Ag,"Ag, Na",True,
mp-1186017,Na3Ag,"Ag, Na",True,
mp-30352,NaAg2,"Ag, Na",False,
mp-973174,NaAg3,"Ag, Na",True,
mp-1186100,NaAg3,"Ag, Na",True,
mp-1186024,Na3Cd,"Cd, Na",True,
mp-1186031,Na3Cd,"Cd, Na",True,
mp-983509,Na3Cd,"Cd, Na",True,
mp-973166,NaCd3,"Cd, Na",True,
mp-865077,NaCd3,"Cd, Na",True,
mp-1186127,NaCd3,"Cd, Na",True,
mp-1203422,Na2Cd11,"Cd, Na",False,
mp-680434,Na26Cd141,"Cd, Na",False,
mp-20628,NaIn,"In, Na",False,
mp-864758,Na3In,"In, Na",True,
mp-1186047,Na3In,"In, Na",True,
mp-31430,Na2In,"In, Na",False,
mp-1186158,NaIn3,"In, Na",True,
mp-864754,NaIn3,"In, Na",True,
mp-976589,NaIn3,"In, Na",True,
mp-1186080,Na3Sn,"Na, Sn",True,
mp-11051,NaSn,"Na, Sn",False,
mp-864742,Na3Sn,"Na, Sn",True,
mp-583168,NaSn2,"Na, Sn",False,
mp-1077925,Na5Sn2,"Na, Sn",False,
mp-1193435,Na9Sn4,"Na, Sn",False,
mp-30794,Na15Sn4,"Na, Sn",False,
mp-542377,Na9Sn4,"Na, Sn",True,
mp-31284,NaSn5,"Na, Sn",False,
mp-1221178,Na7Sn12,"Na, Sn",True,
mp-1198760,Na5Sn13,"Na, Sn",False,
mp-1185541,CsNa3,"Cs, Na",True,
mp-1095650,CsNa2,"Cs, Na",False,
mp-1247744,BaNa,"Ba, Na",True,
mp-11820,BaNa2,"Ba, Na",False,
mp-1183304,Ba3Na,"Ba, Na",True,
mp-1183356,Ba3Na,"Ba, Na",True,
mp-982871,Na3Pt,"Na, Pt",True,
mp-2271,NaPt2,"Na, Pt",False,
mp-1186018,Na3Au,"Au, Na",True,
mp-1363,Na2Au,"Au, Na",False,
mp-976765,Na3Au,"Au, Na",True,
mp-1186030,Na3Au,"Au, Na",True,
mp-1052,NaAu2,"Au, Na",False,
mp-1186115,NaAu3,"Au, Na",True,
mp-1186109,NaAu3,"Au, Na",True,
mp-1186058,Na3Hg,"Hg, Na",True,
mp-255,NaHg,"Hg, Na",False,
mp-1186050,Na3Hg,"Hg, Na",True,
mp-29551,Na3Hg,"Hg, Na",True,
mp-11466,NaHg2,"Hg, Na",False,
mp-17974,Na3Hg2,"Hg, Na",False,
mp-570560,Na3Hg2,"Hg, Na",False,
mp-1186137,NaHg3,"Hg, Na",True,
mp-541787,Na8Hg3,"Hg, Na",False,
mp-1186142,NaHg3,"Hg, Na",True,
mp-1186152,NaHg3,"Hg, Na",True,
mp-1079298,NaTl,"Na, Tl",False,
mp-1192187,NaTl,"Na, Tl",False,
mp-1564,NaTl,"Na, Tl",False,
mp-1078955,NaTl,"Na, Tl",False,
mp-1186088,Na3Tl,"Na, Tl",True,
mp-977403,Na3Tl,"Na, Tl",True,
mp-30795,Na2Tl,"Na, Tl",False,
mp-982773,Na3Tl,"Na, Tl",True,
mp-982873,Na3Tl,"Na, Tl",True,
mp-1186197,NaTl3,"Na, Tl",True,
mp-1186189,NaTl3,"Na, Tl",True,
mp-1221203,Na3Tl4,"Na, Tl",True,
mp-30792,NaPb,"Na, Pb",False,
mp-20555,NaPb3,"Na, Pb",False,
mp-21895,Na15Pb4,"Na, Pb",False,
mp-22924,NaBi,"Bi, Na",False,
mp-977189,Na3Bi,"Bi, Na",True,
mp-27838,Na3Bi,"Bi, Na",False,
mp-972941,NaBi3,"Bi, Na",True,
mp-1016271,Mg7Al,"Al, Mg",True,
mp-1023506,Mg15Al,"Al, Mg",True,
mp-1016233,Mg3Al,"Al, Mg",True,
mp-1094666,Mg3Al,"Al, Mg",True,
mp-1039141,MgAl,"Al, Mg",True,
mp-978271,Mg3Al,"Al, Mg",True,
mp-1094961,Mg3Al,"Al, Mg",True,
mp-1094970,Mg3Al,"Al, Mg",True,
mp-1185596,Mg149Al,"Al, Mg",True,
mp-1038934,MgAl,"Al, Mg",True,
mp-1038779,MgAl,"Al, Mg",True,
mp-1039019,MgAl,"Al, Mg",True,
mp-1094987,MgAl,"Al, Mg",True,
mp-1102064,MgAl2,"Al, Mg",False,
mp-1094116,MgAl2,"Al, Mg",True,
mp-1222013,MgAl2,"Al, Mg",True,
mp-1038916,MgAl3,"Al, Mg",True,
mp-1039119,MgAl3,"Al, Mg",True,
mp-1094700,Mg18Al11,"Al, Mg",True,
mp-2151,Mg17Al12,"Al, Mg",False,
mp-1094692,Mg16Al13,"Al, Mg",True,
mp-1094683,Mg16Al13,"Al, Mg",True,
mp-1094685,Mg16Al13,"Al, Mg",True,
mp-12766,Mg13Al14,"Al, Mg",False,
mp-1194114,Mg13Al16,"Al, Mg",False,
mp-17659,Mg23Al30,"Al, Mg",False,
mp-568106,Mg41Al67,"Al, Mg",False,
mp-1185536,KMg149,"K, Mg",True,
mp-1039148,CaMg,"Ca, Mg",True,
mp-1095016,CaMg2,"Ca, Mg",True,
mp-1094998,CaMg,"Ca, Mg",True,
mp-1038866,CaMg5,"Ca, Mg",True,
mp-1038987,CaMg5,"Ca, Mg",True,
mp-1039409,CaMg3,"Ca, Mg",True,
mp-1039383,CaMg3,"Ca, Mg",True,
mp-1039273,CaMg5,"Ca, Mg",True,
mp-1094734,CaMg3,"Ca, Mg",True,
mp-1039318,CaMg5,"Ca, Mg",True,
mp-1039393,CaMg2,"Ca, Mg",True,
mp-1184449,CaMg149,"Ca, Mg",True,
mp-1094922,CaMg3,"Ca, Mg",True,
mp-1039360,CaMg,"Ca, Mg",True,
mp-1016276,CaMg7,"Ca, Mg",True,
mp-1039382,CaMg2,"Ca, Mg",True,
mp-1039403,CaMg,"Ca, Mg",True,
mp-1183575,CaMg,"Ca, Mg",True,
mp-1183430,CaMg2,"Ca, Mg",True,
mp-1039430,CaMg,"Ca, Mg",True,
mp-1039468,CaMg,"Ca, Mg",True,
mp-1039529,CaMg2,"Ca, Mg",True,
mp-1094852,CaMg,"Ca, Mg",True,
mp-1039439,CaMg,"Ca, Mg",True,
mp-1039570,CaMg2,"Ca, Mg",True,
mp-1023508,CaMg15,"Ca, Mg",True,
mp-1039350,CaMg,"Ca, Mg",True,
mp-1038953,CaMg,"Ca, Mg",True,
mp-2432,CaMg2,"Ca, Mg",False,
mp-1039390,Ca2Mg,"Ca, Mg",True,
mp-1039397,Ca2Mg,"Ca, Mg",True,
mp-1095005,Ca2Mg,"Ca, Mg",True,
mp-1039332,Ca2Mg,"Ca, Mg",True,
mp-1038840,Ca2Mg,"Ca, Mg",True,
mp-1039340,Ca2Mg,"Ca, Mg",True,
mp-1038937,Ca2Mg,"Ca, Mg",True,
mp-1038760,Ca2Mg,"Ca, Mg",True,
mp-1039531,Ca2Mg,"Ca, Mg",True,
mp-1039421,Ca2Mg,"Ca, Mg",True,
mp-1039467,Ca2Mg,"Ca, Mg",True,
mp-1039317,Ca2Mg,"Ca, Mg",True,
mp-1094989,Ca3Mg,"Ca, Mg",True,
mp-1039142,Ca3Mg,"Ca, Mg",True,
mp-1038985,Ca3Mg,"Ca, Mg",True,
mp-1094857,Ca3Mg,"Ca, Mg",True,
mp-1039411,Ca3Mg,"Ca, Mg",True,
mp-1094735,Ca3Mg,"Ca, Mg",True,
mp-1039230,Ca3Mg,"Ca, Mg",True,
mp-1039086,Ca5Mg,"Ca, Mg",True,
mp-1039385,Ca5Mg,"Ca, Mg",True,
mp-1094906,Ca5Mg,"Ca, Mg",True,
mp-1094702,Ca5Mg,"Ca, Mg",True,
mp-1222127,Mg4Sc,"Mg, Sc",True,
mp-1185790,Mg3Sc,"Mg, Sc",True,
mp-973147,Mg5Sc,"Mg, Sc",True,
mp-1185829,Mg5Sc,"Mg, Sc",True,
mp-1185779,Mg2Sc,"Mg, Sc",True,
mp-1079116,Mg7Sc,"Mg, Sc",True,
mp-1185631,Mg149Sc,"Mg, Sc",True,
mp-1185947,MgSc,"Mg, Sc",True,
mp-1185819,Mg5Sc,"Mg, Sc",True,
mp-864937,Mg3Sc,"Mg, Sc",True,
mp-1185837,Mg5Sc,"Mg, Sc",True,
mp-1174,MgSc,"Mg, Sc",False,
mp-1185777,Mg2Sc,"Mg, Sc",True,
mp-1185774,Mg2Sc,"Mg, Sc",True,
mp-1185956,MgSc2,"Mg, Sc",True,
mp-864941,MgSc2,"Mg, Sc",True,
mp-1185966,MgSc3,"Mg, Sc",True,
mp-1185968,MgSc3,"Mg, Sc",True,
mp-1185687,MgSc5,"Mg, Sc",True,
mp-1094385,MgTi,"Mg, Ti",True,
mp-1094383,MgTi,"Mg, Ti",True,
mp-1185639,Mg149Ti,"Mg, Ti",True,
mp-1023608,Mg15Ti,"Mg, Ti",True,
mp-1094351,MgTi2,"Mg, Ti",True,
mp-1094511,MgTi2,"Mg, Ti",True,
mp-1094275,MgTi2,"Mg, Ti",True,
mp-1094865,MgTi3,"Mg, Ti",True,
mp-1094340,MgTi5,"Mg, Ti",True,
mp-1094322,MgTi5,"Mg, Ti",True,
mp-1094387,MgTi5,"Mg, Ti",True,
mp-1185641,Mg149V,"Mg, V",True,
mp-1185585,Mg149Cr,"Cr, Mg",True,
mp-1185627,Mg149Mn,"Mg, Mn",True,
mp-1023507,Mg15Mn,"Mg, Mn",True,
mp-1185592,Mg149Fe,"Fe, Mg",True,
mp-1023624,Mg15Co,"Co, Mg",True,
mp-542488,MgCo,"Co, Mg",False,
mp-864931,MgCo2,"Co, Mg",False,
mp-1185908,MgNi,"Mg, Ni",True,
mp-1010953,MgNi,"Mg, Ni",True,
mp-1023622,Mg15Ni,"Mg, Ni",True,
mp-1185599,Mg149Ni,"Mg, Ni",True,
mp-978288,MgNi,"Mg, Ni",True,
mp-1185791,Mg2Ni,"Mg, Ni",True,
mp-1018140,MgNi,"Mg, Ni",True,
mp-2137,Mg2Ni,"Mg, Ni",False,
mp-1185705,MgNi2,"Mg, Ni",True,
mp-2675,MgNi2,"Mg, Ni",False,
mp-1185907,MgNi3,"Mg, Ni",True,
mp-1063661,MgNi3,"Mg, Ni",False,
mp-1185921,MgNi5,"Mg, Ni",True,
mp-1185803,Mg5Cu,"Cu, Mg",True,
mp-2479851,Mg3Cu,"Cu, Mg",True,
mp-972916,MgCu,"Cu, Mg",True,
mp-1016285,Mg7Cu,"Cu, Mg",True,
