material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference
mp-20034,CaPb,"Ca, Pb",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.665
mp-432,NbRu,"Nb, Ru",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.30000000000000004
mp-22902,LiBi,"Bi, Li",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.52
mp-1094883,MgGa,"Ga, Mg",2,0.016862435000000175,Tetragonal,123,P4/mmm,0.0,True,True,0.25
mp-1797,MnNi,"Mn, Ni",2,0.036898397356321055,Tetragonal,123,P4/mmm,0.0,False,True,0.17999999999999994
mp-1094998,CaMg,"Ca, Mg",2,0.0008479812499992967,Tetragonal,123,P4/mmm,0.0,True,True,0.15500000000000003
mp-1216825,TiIn,"In, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.12
mp-999542,MnFe3,"Fe, Mn",2,0.05122086301724238,Tetragonal,123,P4/mmm,0.0,True,True,0.12124355652982143
mp-998945,TiNi,"Ni, Ti",2,0.06664096999999991,Tetragonal,123,P4/mmm,0.0,True,True,0.18499999999999994
mp-1094673,LiMg,"Li, Mg",2,0.0007004199999998129,Tetragonal,123,P4/mmm,0.0,True,True,0.16500000000000004
mp-1094974,MgZr,"Mg, Zr",2,0.09162435749999975,Tetragonal,123,P4/mmm,0.0,True,True,0.010000000000000009
mp-1215488,Zn5Pd3,"Pd, Zn",2,0.04715498718749789,Tetragonal,123,P4/mmm,0.0,True,True,0.26626760505176006
mp-11870,Hg2Rh,"Hg, Rh",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.13199326582148876
mp-1652,ZnPd,"Pd, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.27500000000000013
mp-1039124,MgCd,"Cd, Mg",2,0.015672457500000903,Tetragonal,123,P4/mmm,0.0,True,True,0.18999999999999995
mp-1215509,ZnPd2,"Pd, Zn",2,0.03810477666666845,Tetragonal,123,P4/mmm,0.0,True,True,0.25927248643506756
mp-1218044,Ta3Ru2,"Ru, Ta",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.34292856398964505
mp-1215997,YIn,"In, Y",2,0.0021521849999999176,Tetragonal,123,P4/mmm,0.0,True,True,0.28
mp-1225083,FeCo3,"Co, Fe",2,0.08142938999999938,Tetragonal,123,P4/mmm,0.0,True,True,0.02165063509461089
mp-758104,Mn11Pd21,"Mn, Pd",2,0.0234693900000007,Tetragonal,123,P4/mmm,0.0,False,True,0.3087232718694042
mp-1001836,MnGa,"Ga, Mn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.13
mp-1953,TiAl,"Al, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.03500000000000003
mp-1094801,MgSn,"Mg, Sn",2,0.021182148749999463,Tetragonal,123,P4/mmm,0.0,True,True,0.32499999999999996
mp-1216611,TlIn3,"In, Tl",2,0.008411200000001173,Tetragonal,123,P4/mmm,0.0,True,True,0.06928203230275505
mp-570199,Ti3Pd5,"Pd, Ti",2,0.0008255312500011769,Tetragonal,123,P4/mmm,0.0,False,True,0.31952112606211197
mp-1251,VRh,"Rh, V",2,0.04173331499999833,Tetragonal,123,P4/mmm,0.0,False,True,0.32499999999999996
mp-1120769,RuPt,"Pt, Ru",2,0.07581536,Tetragonal,123,P4/mmm,0.0,True,True,0.039999999999999813
mp-1670,MnPt,"Mn, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3649999999999999
mp-2583,TiRh,"Rh, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.3699999999999999
mp-2510,ZrHg,"Hg, Zr",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.33499999999999996
mp-1094862,MgZn,"Mg, Zn",2,0.05325654730000018,Tetragonal,123,P4/mmm,0.0,True,True,0.16999999999999993
mp-429,ZnNi,"Ni, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.13
mp-11359,Ga2Cu,"Cu, Ga",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.042426406871192784
mp-1217961,TaAu,"Au, Ta",2,0.01817297625000691,Tetragonal,123,P4/mmm,0.0,True,True,0.52
mp-1039141,MgAl,"Al, Mg",2,0.02454345875000019,Tetragonal,123,P4/mmm,0.0,True,True,0.15000000000000002
mp-945,NiPt,"Ni, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.18499999999999994
mp-1207380,ZrIn,"In, Zr",2,0.0,Tetragonal,123,P4/mmm,0.0,True,True,0.22499999999999998
mp-12675,MnAu,"Au, Mn",2,0.07166042301724218,Tetragonal,123,P4/mmm,0.0,False,True,0.495
mp-1018140,MgNi,"Mg, Ni",2,0.045670855763889406,Tetragonal,123,P4/mmm,0.0,True,True,0.29999999999999993
mp-1228868,AlNi,"Al, Ni",2,0.02678004500000064,Tetragonal,123,P4/mmm,0.0,True,True,0.1499999999999999
mp-1281,VIr,"Ir, V",2,0.04575373000000127,Tetragonal,123,P4/mmm,0.0,False,True,0.28500000000000014
mp-949,CoPt,"Co, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.19999999999999996
mp-1215473,ZnFe,"Fe, Zn",2,0.022560960833332366,Tetragonal,123,P4/mmm,0.0,True,True,0.09000000000000008
mp-672265,Cu3Pd,"Cu, Pd",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.1299038105676659
mp-1215257,ZrRh,"Rh, Zr",2,0.07473740749999891,Tetragonal,123,P4/mmm,0.0,True,True,0.47499999999999987
mp-1194,CdPt,"Cd, Pt",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.29499999999999993
mp-1056985,TiPd,"Pd, Ti",2,0.026569954999999368,Tetragonal,123,P4/mmm,0.0,True,True,0.33000000000000007
mp-1206659,HfIr,"Hf, Ir",2,0.03781439249999963,Tetragonal,123,P4/mmm,0.0,True,True,0.45000000000000007
mp-771,MnAl,"Al, Mn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.030000000000000027
mp-1229048,Al2Ni3,"Al, Ni",2,0.0592241350000009,Tetragonal,123,P4/mmm,0.0,True,True,0.1469693845669906
mp-1098156,LaMg3,"La, Mg",2,0.09047946500000004,Tetragonal,123,P4/mmm,0.0,True,True,0.09093266739736605
mp-1235,TiIr,"Ir, Ti",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.33000000000000007
mp-238,MnPd,"Mn, Pd",2,0.0022244234137920316,Tetragonal,123,P4/mmm,0.0,False,True,0.32500000000000007
mp-894,ZnPt,"Pt, Zn",2,0.0,Tetragonal,123,P4/mmm,0.0,False,True,0.31499999999999995
mp-1215236,ZrTi,"Ti, Zr",2,0.0883353483333309,Tetragonal,123,P4/mmm,0.0,True,True,0.10499999999999998
mp-1017541,ZrIr,"Ir, Zr",2,0.07278834124999634,Tetragonal,123,P4/mmm,0.0,True,True,0.43500000000000005
mp-1217081,Ti3Al5,"Al, Ti",2,0.03238265812499819,Tetragonal,123,P4/mmm,0.0,True,True,0.03388860427931493
mp-510436,InPd3,"In, Pd",2,0.025990728749999192,Tetragonal,123,P4/mmm,0.0,False,True,0.1818653347947322
mp-1228752,Al4Cu15,"Al, Cu",2,0.06176557578947239,Tetragonal,123,P4/mmm,0.0,True,True,0.11822791267370003
mp-1009134,MnFe,"Fe, Mn",2,0.09255887603448265,Tetragonal,123,P4/mmm,0.0,True,True,0.14
mp-1215274,ZrAu,"Au, Zr",2,0.026930405000001656,Tetragonal,123,P4/mmm,0.0,True,True,0.605
mp-644739,LaGa6,"Ga, La",2,0.0,Tetragonal,125,P4/nbm,0.0,False,True,0.24844824533943663
mp-30681,YGa6,"Ga, Y",2,0.02514581607142885,Tetragonal,125,P4/nbm,0.0,False,True,0.20645699260601075
