material_id,formula,elements,num_elements,energy_above_hull,crystal_system,spacegroup_number,spacegroup_symbol,band_gap,theoretical,is_metal,electronegativity_difference,atomic_concentrations
mp-2461,CaGa4,"Ca, Ga",2,0.0016006820000011857,Monoclinic,12,C2/m,0.0,False,True,0.3240,Ca: 0.2000; Ga: 0.8000
mp-567929,Al13Os4,"Al, Os",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2503,Al: 0.7647; Os: 0.2353
mp-2717,Zr2Ni7,"Ni, Zr",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.2411,Zr: 0.2222; Ni: 0.7778
mp-1722,Zn13Fe,"Fe, Zn",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0464,Zn: 0.9286; Fe: 0.0714
mp-1203489,Al13Rh4,"Al, Rh",2,0.0223804461397048,Monoclinic,12,C2/m,0.0,False,True,0.2842,Al: 0.7647; Rh: 0.2353
mp-1193055,Ca13Al14,"Al, Ca",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.3048,Ca: 0.4815; Al: 0.5185
mp-646039,In7Cu10,"Cu, In",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0591,In: 0.4118; Cu: 0.5882
mp-580931,MgZn5,"Mg, Zn",2,0.03014021803571265,Monoclinic,12,C2/m,0.0,False,True,0.1267,Mg: 0.1667; Zn: 0.8333
mp-1202900,Al13Fe4,"Al, Fe",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.0933,Al: 0.7647; Fe: 0.2353
mp-510438,InPt,"In, Pt",2,0.020134795125002825,Monoclinic,12,C2/m,0.0,False,True,0.2500,In: 0.5000; Pt: 0.5000
mp-31485,Ga5Pd13,"Ga, Pd",2,0.0,Monoclinic,12,C2/m,0.0,False,True,0.1747,Ga: 0.2778; Pd: 0.7222
mp-622570,Ti2Cu3,"Cu, Ti",2,0.0024576344999989175,Tetragonal,129,P4/nmm,0.0,False,True,0.1764,Ti: 0.4000; Cu: 0.6000
mp-998972,TiAu,"Au, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.5000,Ti: 0.5000; Au: 0.5000
mp-640045,Ti8Bi9,"Bi, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.2396,Ti: 0.4706; Bi: 0.5294
mp-1007758,HfCd,"Cd, Hf",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.1950,Hf: 0.5000; Cd: 0.5000
mp-999133,TaPd,"Pd, Ta",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.3500,Ta: 0.5000; Pd: 0.5000
mp-11239,ZrAg,"Ag, Zr",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.3000,Zr: 0.5000; Ag: 0.5000
mp-2078,TiCu,"Cu, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.1800,Ti: 0.5000; Cu: 0.5000
mp-1007755,HfAu,"Au, Hf",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.6200,Hf: 0.5000; Au: 0.5000
mp-23313,InBi,"Bi, In",2,0.04432653499999617,Tetragonal,129,P4/nmm,0.0,False,True,0.1200,In: 0.5000; Bi: 0.5000
mp-1017985,TiAg,"Ag, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.1950,Ti: 0.5000; Ag: 0.5000
mp-13156,HfAg,"Ag, Hf",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.3150,Hf: 0.5000; Ag: 0.5000
mp-1017540,ZrCd,"Cd, Zr",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.1800,Zr: 0.5000; Cd: 0.5000
mp-30500,TiCd,"Cd, Ti",2,0.0,Tetragonal,129,P4/nmm,0.0,False,True,0.0750,Ti: 0.5000; Cd: 0.5000
mp-1199235,La5Ir3,"Ir, La",2,0.0,Tetragonal,130,P4/ncc,0.0,False,True,0.5325,La: 0.6250; Ir: 0.3750
mp-1198712,Y5Ir3,"Ir, Y",2,0.0,Tetragonal,130,P4/ncc,0.0,False,True,0.4744,Y: 0.6250; Ir: 0.3750
mp-672217,La5Ga3,"Ga, La",2,0.0,Tetragonal,130,P4/ncc,0.0,False,True,0.3437,La: 0.6250; Ga: 0.3750
mp-672256,Y5Ga3,"Ga, Y",2,0.01638631367187493,Tetragonal,130,P4/ncc,0.0,False,True,0.2856,Y: 0.6250; Ga: 0.3750
mp-1192771,OsW2,"Os, W",2,0.029563740999996924,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0754,Os: 0.3333; W: 0.6667
mp-1188977,Ga3Rh,"Ga, Rh",2,0.011919769810266878,Tetragonal,136,P4_2/mnm,0.0,False,True,0.2035,Ga: 0.7500; Rh: 0.2500
mp-1193531,Ta2Al,"Al, Ta",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0519,Ta: 0.6667; Al: 0.3333
mp-636368,Ga3Fe,"Fe, Ga",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0087,Ga: 0.7500; Fe: 0.2500
mp-570560,Na3Hg2,"Hg, Na",2,0.048197753000000176,Tetragonal,136,P4_2/mnm,0.0,False,True,0.5242,Na: 0.6000; Hg: 0.4000
mp-1194495,Ta2Au,"Au, Ta",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.4903,Ta: 0.6667; Au: 0.3333
mp-1195396,Nb4Ga5,"Ga, Nb",2,0.003169862222222264,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1043,Nb: 0.4444; Ga: 0.5556
mp-22236,In3Co,"Co, In",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0433,In: 0.7500; Co: 0.2500
mp-13470,Zr3Al2,"Al, Zr",2,0.03617644129999675,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1372,Zr: 0.6000; Al: 0.4000
mp-20559,Ga3Co,"Co, Ga",2,0.0,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0303,Ga: 0.7500; Co: 0.2500
mp-630976,In3Ir,"In, Ir",2,0.004296428125002194,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1819,In: 0.7500; Ir: 0.2500
mp-7507,Sr3Li2,"Li, Sr",2,0.005140342409089671,Tetragonal,136,P4_2/mnm,0.0,False,True,0.0147,Sr: 0.6000; Li: 0.4000
mp-1189634,Ga3Ir,"Ga, Ir",2,0.022756848625000714,Tetragonal,136,P4_2/mnm,0.0,False,True,0.1689,Ga: 0.7500; Ir: 0.2500
