material_id,formula,elements,theoretical,valence_info
mp-259,AlMo3,"Al, Mo",False,"Al: 1 (Valence: 3), Mo: 3 (Valence: 6)"
mp-570651,Al17Mo4,"Al, Mo",True,"Al: 17 (Valence: 3), Mo: 4 (Valence: 6)"
mp-568153,Al22Mo5,"Al, Mo",False,"Al: 22 (Valence: 3), Mo: 5 (Valence: 6)"
mp-16719,Al12Tc,"Al, Tc",False,"Al: 12 (Valence: 3), Tc: 1 (Valence: 7)"
mp-1104047,Al4Tc,"Al, Tc",False,"Al: 4 (Valence: 3), Tc: 1 (Valence: 7)"
mp-16718,Al6Tc,"Al, Tc",False,"Al: 6 (Valence: 3), Tc: 1 (Valence: 7)"
mp-867347,Al3Tc,"Al, Tc",True,"Al: 3 (Valence: 3), Tc: 1 (Valence: 7)"
mp-1018166,AlTc2,"Al, Tc",False,"Al: 1 (Valence: 3), Tc: 2 (Valence: 7)"
mp-16529,Al6Ru,"Al, Ru",False,"Al: 6 (Valence: 3), Ru: 1 (Valence: 8)"
mp-542569,AlRu,"Al, Ru",False,"Al: 1 (Valence: 3), Ru: 1 (Valence: 8)"
mp-10910,Al2Ru,"Al, Ru",False,"Al: 2 (Valence: 3), Ru: 1 (Valence: 8)"
mp-1009834,Al2Ru,"Al, Ru",False,"Al: 2 (Valence: 3), Ru: 1 (Valence: 8)"
mp-1070580,Al3Ru2,"Al, Ru",False,"Al: 3 (Valence: 3), Ru: 2 (Valence: 8)"
mp-17880,Al13Ru4,"Al, Ru",False,"Al: 13 (Valence: 3), Ru: 4 (Valence: 8)"
mp-364,AlRh,"Al, Rh",False,"Al: 1 (Valence: 3), Rh: 1 (Valence: 9)"
mp-1791,Al5Rh2,"Al, Rh",False,"Al: 5 (Valence: 3), Rh: 2 (Valence: 9)"
mp-1645,Al9Rh2,"Al, Rh",False,"Al: 9 (Valence: 3), Rh: 2 (Valence: 9)"
mp-1183306,AlRh3,"Al, Rh",True,"Al: 1 (Valence: 3), Rh: 3 (Valence: 9)"
mp-1203489,Al13Rh4,"Al, Rh",False,"Al: 13 (Valence: 3), Rh: 4 (Valence: 9)"
mp-7189,AlPd,"Al, Pd",False,"Al: 1 (Valence: 3), Pd: 1 (Valence: 10)"
mp-829,AlPd,"Al, Pd",False,"Al: 1 (Valence: 3), Pd: 1 (Valence: 10)"
mp-16522,Al2Pd,"Al, Pd",False,"Al: 2 (Valence: 3), Pd: 1 (Valence: 10)"
mp-669546,AlPd,"Al, Pd",False,"Al: 1 (Valence: 3), Pd: 1 (Valence: 10)"
mp-10901,Al3Pd2,"Al, Pd",False,"Al: 3 (Valence: 3), Pd: 2 (Valence: 10)"
mp-2824,AlPd2,"Al, Pd",False,"Al: 1 (Valence: 3), Pd: 2 (Valence: 10)"
mp-1183143,AlPd3,"Al, Pd",True,"Al: 1 (Valence: 3), Pd: 3 (Valence: 10)"
mp-16523,Al3Pd5,"Al, Pd",False,"Al: 3 (Valence: 3), Pd: 5 (Valence: 10)"
mp-605663,AlPd5,"Al, Pd",False,"Al: 1 (Valence: 3), Pd: 5 (Valence: 10)"
mp-1498,Al21Pd8,"Al, Pd",False,"Al: 21 (Valence: 3), Pd: 8 (Valence: 10)"
mp-1228901,AlAg,"Ag, Al",True,"Al: 1 (Valence: 3), Ag: 1 (Valence: 11)"
mp-1183130,Al3Ag,"Ag, Al",True,"Al: 3 (Valence: 3), Ag: 1 (Valence: 11)"
mp-985805,AlAg2,"Ag, Al",True,"Al: 1 (Valence: 3), Ag: 2 (Valence: 11)"
mp-1228927,AlAg3,"Ag, Al",True,"Al: 1 (Valence: 3), Ag: 3 (Valence: 11)"
mp-1228988,AlAg3,"Ag, Al",True,"Al: 1 (Valence: 3), Ag: 3 (Valence: 11)"
mp-1228947,AlAg4,"Ag, Al",True,"Al: 1 (Valence: 3), Ag: 4 (Valence: 11)"
mp-1079984,BaAl,"Al, Ba",True,"Ba: 1 (Valence: 2), Al: 1 (Valence: 3)"
mp-551,BaAl2,"Al, Ba",False,"Ba: 1 (Valence: 2), Al: 2 (Valence: 3)"
mp-1903,BaAl4,"Al, Ba",False,"Ba: 1 (Valence: 2), Al: 4 (Valence: 3)"
mp-261,Ba3Al5,"Al, Ba",False,"Ba: 3 (Valence: 2), Al: 5 (Valence: 3)"
mp-2631,Ba4Al5,"Al, Ba",False,"Ba: 4 (Valence: 2), Al: 5 (Valence: 3)"
mp-570400,Ba7Al10,"Al, Ba",False,"Ba: 7 (Valence: 2), Al: 10 (Valence: 3)"
mp-1952,Ba7Al13,"Al, Ba",False,"Ba: 7 (Valence: 2), Al: 13 (Valence: 3)"
mp-567701,Ba21Al40,"Al, Ba",False,"Ba: 21 (Valence: 2), Al: 40 (Valence: 3)"
mp-12684,LaAl,"Al, La",False,"La: 1 (Valence: 3), Al: 1 (Valence: 3)"
mp-959,LaAl3,"Al, La",False,"La: 1 (Valence: 3), Al: 3 (Valence: 3)"
mp-1104765,LaAl4,"Al, La",False,"La: 1 (Valence: 3), Al: 4 (Valence: 3)"
mp-21109,LaAl4,"Al, La",False,"La: 1 (Valence: 3), Al: 4 (Valence: 3)"
mp-2694,LaAl2,"Al, La",False,"La: 1 (Valence: 3), Al: 2 (Valence: 3)"
mp-1084828,La3Al,"Al, La",False,"La: 3 (Valence: 3), Al: 1 (Valence: 3)"
mp-10889,La3Al,"Al, La",False,"La: 3 (Valence: 3), Al: 1 (Valence: 3)"
mp-16505,La3Al11,"Al, La",False,"La: 3 (Valence: 3), Al: 11 (Valence: 3)"
mp-568683,La16Al13,"Al, La",False,"La: 16 (Valence: 3), Al: 13 (Valence: 3)"
mp-568718,HfAl3,"Al, Hf",False,"Hf: 1 (Valence: 4), Al: 3 (Valence: 3)"
mp-249,HfAl,"Al, Hf",False,"Hf: 1 (Valence: 4), Al: 1 (Valence: 3)"
mp-12657,HfAl2,"Al, Hf",False,"Hf: 1 (Valence: 4), Al: 2 (Valence: 3)"
mp-2614,HfAl3,"Al, Hf",False,"Hf: 1 (Valence: 4), Al: 3 (Valence: 3)"
mp-1007730,HfAl3,"Al, Hf",True,"Hf: 1 (Valence: 4), Al: 3 (Valence: 3)"
mp-846,Hf2Al3,"Al, Hf",False,"Hf: 2 (Valence: 4), Al: 3 (Valence: 3)"
mp-12772,Hf2Al,"Al, Hf",False,"Hf: 2 (Valence: 4), Al: 1 (Valence: 3)"
mp-1184670,Hf3Al,"Al, Hf",True,"Hf: 3 (Valence: 4), Al: 1 (Valence: 3)"
mp-8462,Hf3Al2,"Al, Hf",False,"Hf: 3 (Valence: 4), Al: 2 (Valence: 3)"
mp-1025223,Hf4Al3,"Al, Hf",False,"Hf: 4 (Valence: 4), Al: 3 (Valence: 3)"
mp-2361,Hf5Al3,"Al, Hf",False,"Hf: 5 (Valence: 4), Al: 3 (Valence: 3)"
mp-869,TaAl3,"Al, Ta",False,"Ta: 1 (Valence: 5), Al: 3 (Valence: 3)"
mp-1193531,Ta2Al,"Al, Ta",False,"Ta: 2 (Valence: 5), Al: 1 (Valence: 3)"
mp-1217804,Ta11Al4,"Al, Ta",True,"Ta: 11 (Valence: 5), Al: 4 (Valence: 3)"
mp-1217883,Ta13Al23,"Al, Ta",True,"Ta: 13 (Valence: 5), Al: 23 (Valence: 3)"
mp-1208546,Ta24Al19,"Al, Ta",True,"Ta: 24 (Valence: 5), Al: 19 (Valence: 3)"
mp-12524,Al2W,"Al, W",False,"Al: 2 (Valence: 3), W: 1 (Valence: 6)"
mp-30336,Al4W,"Al, W",False,"Al: 4 (Valence: 3), W: 1 (Valence: 6)"
mp-11227,Al12W,"Al, W",False,"Al: 12 (Valence: 3), W: 1 (Valence: 6)"
mp-30337,Al5W,"Al, W",False,"Al: 5 (Valence: 3), W: 1 (Valence: 6)"
mp-1648,Al12Re,"Al, Re",False,"Al: 12 (Valence: 3), Re: 1 (Valence: 7)"
mp-16528,Al6Re,"Al, Re",False,"Al: 6 (Valence: 3), Re: 1 (Valence: 7)"
mp-1228815,AlRe,"Al, Re",True,"Al: 1 (Valence: 3), Re: 1 (Valence: 7)"
mp-10909,AlRe2,"Al, Re",False,"Al: 1 (Valence: 3), Re: 2 (Valence: 7)"
mp-1214889,Al11Re4,"Al, Re",True,"Al: 11 (Valence: 3), Re: 4 (Valence: 7)"
mp-1192984,Al5Re24,"Al, Re",False,"Al: 5 (Valence: 3), Re: 24 (Valence: 7)"
mp-875,AlOs,"Al, Os",False,"Al: 1 (Valence: 3), Os: 1 (Valence: 8)"
mp-7188,Al2Os,"Al, Os",False,"Al: 2 (Valence: 3), Os: 1 (Valence: 8)"
mp-16521,Al3Os2,"Al, Os",False,"Al: 3 (Valence: 3), Os: 2 (Valence: 8)"
mp-567929,Al13Os4,"Al, Os",False,"Al: 13 (Valence: 3), Os: 4 (Valence: 8)"
mp-1200220,Al3Ir,"Al, Ir",False,"Al: 3 (Valence: 3), Ir: 1 (Valence: 9)"
mp-2294,Al3Ir,"Al, Ir",False,"Al: 3 (Valence: 3), Ir: 1 (Valence: 9)"
mp-1885,AlIr,"Al, Ir",False,"Al: 1 (Valence: 3), Ir: 1 (Valence: 9)"
mp-12003,Al9Ir2,"Al, Ir",False,"Al: 9 (Valence: 3), Ir: 2 (Valence: 9)"
mp-10904,AlPt,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 1 (Valence: 10)"
mp-1502,Al2Pt,"Al, Pt",False,"Al: 2 (Valence: 3), Pt: 1 (Valence: 10)"
mp-16526,AlPt2,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 2 (Valence: 10)"
mp-16960,AlPt2,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 2 (Valence: 10)"
mp-10905,Al3Pt2,"Al, Pt",False,"Al: 3 (Valence: 3), Pt: 2 (Valence: 10)"
mp-1080448,AlPt3,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 3 (Valence: 10)"
mp-1079182,AlPt3,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 3 (Valence: 10)"
mp-607111,AlPt3,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 3 (Valence: 10)"
mp-188,AlPt3,"Al, Pt",False,"Al: 1 (Valence: 3), Pt: 3 (Valence: 10)"
mp-1501,Al3Pt5,"Al, Pt",False,"Al: 3 (Valence: 3), Pt: 5 (Valence: 10)"
mp-1982,Al21Pt8,"Al, Pt",False,"Al: 21 (Valence: 3), Pt: 8 (Valence: 10)"
mp-2647,Al2Au,"Al, Au",False,"Al: 2 (Valence: 3), Au: 1 (Valence: 11)"
mp-1399,AlAu,"Al, Au",False,"Al: 1 (Valence: 3), Au: 1 (Valence: 11)"
mp-569558,AlAu2,"Al, Au",False,"Al: 1 (Valence: 3), Au: 2 (Valence: 11)"
mp-30550,AlAu2,"Al, Au",False,"Al: 1 (Valence: 3), Au: 2 (Valence: 11)"
mp-1018179,AlAu2,"Al, Au",False,"Al: 1 (Valence: 3), Au: 2 (Valence: 11)"
mp-1183223,AlAu3,"Al, Au",True,"Al: 1 (Valence: 3), Au: 3 (Valence: 11)"
mp-1228956,AlAu4,"Al, Au",True,"Al: 1 (Valence: 3), Au: 4 (Valence: 11)"
mp-1490,AlAu4,"Al, Au",False,"Al: 1 (Valence: 3), Au: 4 (Valence: 11)"
mp-16480,Al3Au8,"Al, Au",False,"Al: 3 (Valence: 3), Au: 8 (Valence: 11)"
mp-1018132,AlBi,"Al, Bi",True,"Al: 1 (Valence: 3), Bi: 1 (Valence: 5)"
mp-784,KZn13,"K, Zn",False,"K: 1 (Valence: 1), Zn: 13 (Valence: 12)"
mp-1078864,KGa,"Ga, K",False,"K: 1 (Valence: 1), Ga: 1 (Valence: 3)"
mp-568052,K2Ga3,"Ga, K",False,"K: 2 (Valence: 1), Ga: 3 (Valence: 3)"
mp-181,KGa3,"Ga, K",False,"K: 1 (Valence: 1), Ga: 3 (Valence: 3)"
mp-680682,K3Ga13,"Ga, K",False,"K: 3 (Valence: 1), Ga: 13 (Valence: 3)"
mp-1185090,K3Rb,"K, Rb",True,"K: 3 (Valence: 1), Rb: 1 (Valence: 1)"
mp-976115,K3Rb,"K, Rb",True,"K: 3 (Valence: 1), Rb: 1 (Valence: 1)"
mp-1185119,K3Rb,"K, Rb",True,"K: 3 (Valence: 1), Rb: 1 (Valence: 1)"
mp-1185168,KRb3,"K, Rb",True,"K: 1 (Valence: 1), Rb: 3 (Valence: 1)"
mp-1185107,KRb3,"K, Rb",True,"K: 1 (Valence: 1), Rb: 3 (Valence: 1)"
mp-973508,KRb3,"K, Rb",True,"K: 1 (Valence: 1), Rb: 3 (Valence: 1)"
mp-1185080,KRb3,"K, Rb",True,"K: 1 (Valence: 1), Rb: 3 (Valence: 1)"
mp-974738,KSr3,"K, Sr",True,"K: 1 (Valence: 1), Sr: 3 (Valence: 2)"
mp-12735,KAg2,"Ag, K",False,"K: 1 (Valence: 1), Ag: 2 (Valence: 11)"
mp-982780,K3Cd,"Cd, K",True,"K: 3 (Valence: 1), Cd: 1 (Valence: 12)"
mp-397,KCd13,"Cd, K",False,"K: 1 (Valence: 1), Cd: 13 (Valence: 12)"
mp-1202778,K3Cd16,"Cd, K",False,"K: 3 (Valence: 1), Cd: 16 (Valence: 12)"
mp-22481,KIn4,"In, K",False,"K: 1 (Valence: 1), In: 4 (Valence: 3)"
mp-582929,K8In11,"In, K",False,"K: 8 (Valence: 1), In: 11 (Valence: 3)"
mp-640781,K17In41,"In, K",False,"K: 17 (Valence: 1), In: 41 (Valence: 3)"
mp-542374,KSn,"K, Sn",False,"K: 1 (Valence: 1), Sn: 1 (Valence: 4)"
mp-1103373,KSn2,"K, Sn",False,"K: 1 (Valence: 1), Sn: 2 (Valence: 4)"
mp-1185151,KSn3,"K, Sn",True,"K: 1 (Valence: 1), Sn: 3 (Valence: 4)"
mp-570900,K4Sn9,"K, Sn",False,"K: 4 (Valence: 1), Sn: 9 (Valence: 4)"
mp-13909,K4Sn23,"K, Sn",False,"K: 4 (Valence: 1), Sn: 23 (Valence: 4)"
mp-571066,K6Sn25,"K, Sn",False,"K: 6 (Valence: 1), Sn: 25 (Valence: 4)"
mp-1183958,CsK3,"Cs, K",True,"Cs: 1 (Valence: 1), K: 3 (Valence: 1)"
mp-1185554,CsK3,"Cs, K",True,"Cs: 1 (Valence: 1), K: 3 (Valence: 1)"
mp-1185543,CsK3,"Cs, K",True,"Cs: 1 (Valence: 1), K: 3 (Valence: 1)"
mp-30577,CsK2,"Cs, K",False,"Cs: 1 (Valence: 1), K: 2 (Valence: 1)"
mp-1225902,CsK,"Cs, K",True,"Cs: 1 (Valence: 1), K: 1 (Valence: 1)"
mp-1185558,CsK3,"Cs, K",True,"Cs: 1 (Valence: 1), K: 3 (Valence: 1)"
mp-1183940,Cs3K,"Cs, K",True,"Cs: 3 (Valence: 1), K: 1 (Valence: 1)"
mp-569866,Cs6K7,"Cs, K",False,"Cs: 6 (Valence: 1), K: 7 (Valence: 1)"
mp-1185155,KBa3,"Ba, K",True,"K: 1 (Valence: 1), Ba: 3 (Valence: 2)"
mp-1062676,K2Pt,"K, Pt",False,"K: 2 (Valence: 1), Pt: 1 (Valence: 10)"
mp-30401,KAu2,"Au, K",False,"K: 1 (Valence: 1), Au: 2 (Valence: 11)"
mp-8700,K2Au3,"Au, K",False,"K: 2 (Valence: 1), Au: 3 (Valence: 11)"
mp-1298,KAu5,"Au, K",False,"K: 1 (Valence: 1), Au: 5 (Valence: 11)"
mp-11462,KHg,"Hg, K",False,"K: 1 (Valence: 1), Hg: 1 (Valence: 12)"
mp-30717,KHg2,"Hg, K",False,"K: 1 (Valence: 1), Hg: 2 (Valence: 12)"
mp-1184994,KHg3,"Hg, K",True,"K: 1 (Valence: 1), Hg: 3 (Valence: 12)"
mp-1185099,KHg3,"Hg, K",True,"K: 1 (Valence: 1), Hg: 3 (Valence: 12)"
mp-1185042,KHg3,"Hg, K",True,"K: 1 (Valence: 1), Hg: 3 (Valence: 12)"
mp-1185041,KHg3,"Hg, K",True,"K: 1 (Valence: 1), Hg: 3 (Valence: 12)"
mp-1193208,KHg6,"Hg, K",False,"K: 1 (Valence: 1), Hg: 6 (Valence: 12)"
mp-30718,K5Hg7,"Hg, K",False,"K: 5 (Valence: 1), Hg: 7 (Valence: 12)"
mp-31473,K2Hg7,"Hg, K",False,"K: 2 (Valence: 1), Hg: 7 (Valence: 12)"
mp-11952,KHg11,"Hg, K",False,"K: 1 (Valence: 1), Hg: 11 (Valence: 12)"
mp-11028,K3Hg11,"Hg, K",False,"K: 3 (Valence: 1), Hg: 11 (Valence: 12)"
mp-1224131,K7Hg31,"Hg, K",True,"K: 7 (Valence: 1), Hg: 31 (Valence: 12)"
mp-863730,KTl,"K, Tl",False,"K: 1 (Valence: 1), Tl: 1 (Valence: 3)"
mp-974641,K3Tl,"K, Tl",True,"K: 3 (Valence: 1), Tl: 1 (Valence: 3)"
mp-974627,K3Tl,"K, Tl",True,"K: 3 (Valence: 1), Tl: 1 (Valence: 3)"
mp-1185120,K3Tl,"K, Tl",True,"K: 3 (Valence: 1), Tl: 1 (Valence: 3)"
mp-1079544,KTl,"K, Tl",False,"K: 1 (Valence: 1), Tl: 1 (Valence: 3)"
mp-862783,KTl3,"K, Tl",True,"K: 1 (Valence: 1), Tl: 3 (Valence: 3)"
mp-1212012,K10Tl7,"K, Tl",True,"K: 10 (Valence: 1), Tl: 7 (Valence: 3)"
mp-569570,K8Tl11,"K, Tl",False,"K: 8 (Valence: 1), Tl: 11 (Valence: 3)"
mp-1196555,K6Tl17,"K, Tl",False,"K: 6 (Valence: 1), Tl: 17 (Valence: 3)"
mp-640333,K49Tl108,"K, Tl",False,"K: 49 (Valence: 1), Tl: 108 (Valence: 3)"
mp-21526,KPb,"K, Pb",False,"K: 1 (Valence: 1), Pb: 1 (Valence: 4)"
mp-21170,KPb2,"K, Pb",False,"K: 1 (Valence: 1), Pb: 2 (Valence: 4)"
mp-1185202,KPb3,"K, Pb",True,"K: 1 (Valence: 1), Pb: 3 (Valence: 4)"
mp-680443,K4Pb9,"K, Pb",False,"K: 4 (Valence: 1), Pb: 9 (Valence: 4)"
mp-21613,K5Pb24,"K, Pb",False,"K: 5 (Valence: 1), Pb: 24 (Valence: 4)"
